year_revisited,state,season,colony_lost_pct
2022,ohio,Summer,3.0
2022,ohio,Winter,10.0
2022,oklahoma,Summer,6.0
2022,oklahoma,Winter,11.0
2022,oregon,Summer,4.0
2022,oregon,Winter,7.5
2022,other states,Summer,3.0
2022,other states,Winter,8.0
2022,pennsylvania,Summer,3.0
2022,pennsylvania,Winter,10.0
2022,south carolina,Summer,11.0
2022,south carolina,Winter,14.0
2022,south dakota,Summer,2.0
2022,south dakota,Winter,5.0
2022,tennessee,Summer,38.0
2022,tennessee,Winter,15.5
2022,texas,Summer,10.0
2022,texas,Winter,8.5
2022,utah,Summer,15.0
2022,utah,Winter,11.0
2022,vermont,Summer,2.0
2022,vermont,Winter,3.0
2022,virginia,Summer,6.0
2022,virginia,Winter,14.0
2022,washington,Summer,6.0
2022,washington,Winter,7.5
2022,west virginia,Summer,3.0
2022,west virginia,Winter,12.5
2022,wisconsin,Summer,3.0
2022,wisconsin,Winter,8.5
2022,wyoming,Summer,8.0
2022,wyoming,Winter,6.5
