"year","months","MaximumTemperature","MinimumTemperature","PalmerDroughtSeverityIndexPDSI","Precipitation","AverageTemperature","state"
"2019","April-June",29.61,7.83,2.46666666666667,1.27,17.02,"California"
"2019","July-September",33.06,12.94,-0.196666666666667,0.273333333333333,23.19,"California"
"2019","October-December",22.94,2.61,-0.993333333333333,2.21333333333333,11.15,"California"
"2020","January-March",16.72,2,-2.25666666666667,1.82,8.61,"California"
"2020","April-June",29.39,6.94,-1.74333333333333,1.11666666666667,17.7,"California"
"2020","July-September",34.22,15.06,-1.87,0.0633333333333333,24.72,"California"
"2020","October-December",27.33,1.28,-3.43333333333333,1.02333333333333,12.33,"California"
"2021","January-March",15.72,1.89,-4.48,2.25666666666667,8.35,"California"
"2021","April-June",32.11,6.61,-5.91,0.18,18.81,"California"
"2021","July-September",34.61,14.28,-6.76333333333333,0.25,24.63,"California"
"2021","October-December",21.28,1.56,-3.92333333333333,3.62333333333333,11.2,"California"
"2022","January-March",18.83,1.67,-4.77666666666667,0.58,9.57,"California"
"2022","April-June",30.28,6,-5.04666666666667,0.82,17.46,"California"
"2015","January-March",12.72,-8.17,-0.423333333333333,0.953333333333333,1.09,"Colorado"
"2015","April-June",26.22,-0.5,1.43333333333333,3.03,11.76,"Colorado"
"2015","July-September",27.67,8.44,2.56333333333333,1.6,18.54,"Colorado"
"2015","October-December",18.11,-9.89,2.03666666666667,1.66,2.93,"Colorado"
"2016","January-March",11.11,-10.44,1.8,1.05,-0.02,"Colorado"
"2016","April-June",27.94,-0.78,1.25666666666667,2.05333333333333,12.02,"Colorado"
"2016","July-September",29.11,7.06,-0.49,1.57,18.04,"Colorado"
"2016","October-December",19.61,-10.67,-1.12666666666667,1.02,3.93,"Colorado"
"2017","January-March",13.94,-9.72,-0.05,1.49333333333333,1.33,"Colorado"
"2017","April-June",27.06,-0.67,0.296666666666667,1.89333333333333,11.96,"Colorado"
"2017","July-September",28.94,7.33,0.8,2.3,18,"Colorado"
"2017","October-December",16.39,-8.72,-1.14,0.616666666666667,4.09,"Colorado"
"2018","January-March",11.33,-9.06,-2.92666666666667,0.946666666666667,0.02,"Colorado"
"2018","April-June",28.28,-1.44,-4.74333333333333,1.29666666666667,13.28,"Colorado"
"2018","July-September",29.5,8.06,-6.29666666666667,1.40666666666667,18.91,"Colorado"
"2018","October-December",13.94,-10,0.626666666666667,1.33666666666667,1.5,"Colorado"
"2019","January-March",7.67,-10.94,0.946666666666667,1.91333333333333,-2.09,"Colorado"
"2019","April-June",24.11,-0.17,1.86,2.02,10.74,"Colorado"
"2019","July-September",29.11,8.61,0.176666666666667,1.25333333333333,19.31,"Colorado"
"2019","October-December",13.5,-8.78,-0.97,1.11666666666667,1.52,"Colorado"
"2020","January-March",10.78,-10.33,-1.39,1.05333333333333,-0.63,"Colorado"
