year_revisited,state,season,colony_lost_pct
2021,Minnesota,Winter,7.0
2021,Mississippi,Summer,12.0
2021,Mississippi,Winter,12.5
2021,Missouri,Summer,10.5
2021,Missouri,Winter,19.0
2021,Montana,Summer,4.0
2021,Montana,Winter,8.0
2021,Nebraska,Summer,8.5
2021,Nebraska,Winter,10.0
2021,New Jersey,Summer,2.0
2021,New Jersey,Winter,2.5
2021,New Mexico,Summer,5.5
2021,New Mexico,Winter,6.0
2021,New York,Summer,7.0
2021,New York,Winter,12.0
2021,North Carolina,Summer,9.5
2021,North Carolina,Winter,10.5
2021,North Dakota,Summer,6.5
2021,North Dakota,Winter,10.0
2021,Ohio,Summer,7.0
2021,Ohio,Winter,15.5
2021,Oklahoma,Summer,14.5
2021,Oklahoma,Winter,5.0
2021,Oregon,Summer,7.5
2021,Oregon,Winter,8.5
2021,Other States,Summer,3.5
2021,Other States,Winter,15.5
2021,Pennsylvania,Summer,7.5
2021,Pennsylvania,Winter,17.0
2021,South Carolina,Summer,10.0
2021,South Carolina,Winter,10.0
2021,South Dakota,Summer,7.5
2021,South Dakota,Winter,4.5
2021,Tennessee,Summer,6.5
2021,Tennessee,Winter,11.0
2021,Texas,Summer,5.5
2021,Texas,Winter,12.0
2021,Utah,Summer,9.5
2021,Utah,Winter,13.5
2021,Vermont,Summer,1.0
2021,Vermont,Winter,10.0
2021,Virginia,Summer,7.0
2021,Virginia,Winter,16.0
2021,Washington,Summer,4.0
2021,Washington,Winter,12.5
2021,West Virginia,Summer,4.5
2021,West Virginia,Winter,11.5
2021,Wisconsin,Summer,7.5
2021,Wisconsin,Winter,10.0
2021,Wyoming,Summer,8.5
2021,Wyoming,Winter,9.0
2022,Alabama,Summer,11.0
2022,Alabama,Winter,11.0
2022,Arizona,Summer,10.0
2022,Arizona,Winter,16.0
2022,Arkansas,Summer,13.0
2022,Arkansas,Winter,7.5
2022,California,Summer,8.0
2022,California,Winter,8.0
2022,Colorado,Summer,7.0
2022,Colorado,Winter,9.0
2022,Connecticut,Summer,1.0
2022,Connecticut,Winter,8.0
2022,Florida,Summer,11.0
2022,Florida,Winter,10.0
2022,Georgia,Summer,19.0
2022,Georgia,Winter,15.0
2022,Hawaii,Summer,2.0
2022,Hawaii,Winter,4.5
2022,Idaho,Summer,13.0
2022,Idaho,Winter,7.0
2022,Illinois,Summer,12.0
2022,Illinois,Winter,14.5
2022,Indiana,Summer,16.0
2022,Indiana,Winter,19.0
2022,Iowa,Summer,8.0
2022,Iowa,Winter,9.0
2022,Kansas,Summer,13.0
2022,Kansas,Winter,18.0
2022,Kentucky,Summer,6.0
2022,Kentucky,Winter,11.0
2022,Louisiana,Summer,4.0
2022,Louisiana,Winter,11.0
2022,Maine,Summer,5.0
2022,Maine,Winter,9.0
2022,Maryland,Summer,5.0
2022,Maryland,Winter,18.5
2022,Massachusetts,Summer,2.0
2022,Massachusetts,Winter,9.5
2022,Michigan,Summer,4.0
2022,Michigan,Winter,6.0
2022,Minnesota,Summer,1.0
2022,Minnesota,Winter,6.5
2022,Mississippi,Summer,9.0
2022,Mississippi,Winter,11.0
2022,Missouri,Summer,14.0
2022,Missouri,Winter,7.5
2022,Montana,Summer,1.0
2022,Montana,Winter,9.0
2022,Nebraska,Summer,5.0
2022,Nebraska,Winter,10.0
2022,New Jersey,Summer,1.0
2022,New Jersey,Winter,3.0
2022,New Mexico,Summer,23.0
2022,New Mexico,Winter,29.5
2022,New York,Summer,4.0
2022,New York,Winter,22.5
2022,North Carolina,Summer,4.0
2022,North Carolina,Winter,10.0
2022,North Dakota,Summer,4.0
2022,North Dakota,Winter,6.0
2022,Ohio,Summer,3.0
2022,Ohio,Winter,10.0
2022,Oklahoma,Summer,6.0
2022,Oklahoma,Winter,11.0
2022,Oregon,Summer,4.0
2022,Oregon,Winter,7.5
2022,Other States,Summer,3.0
2022,Other States,Winter,8.0
2022,Pennsylvania,Summer,3.0
2022,Pennsylvania,Winter,10.0
2022,South Carolina,Summer,11.0
2022,South Carolina,Winter,14.0
2022,South Dakota,Summer,2.0
2022,South Dakota,Winter,5.0
2022,Tennessee,Summer,38.0
2022,Tennessee,Winter,15.5
2022,Texas,Summer,10.0
2022,Texas,Winter,8.5
2022,Utah,Summer,15.0
2022,Utah,Winter,11.0
2022,Vermont,Summer,2.0
2022,Vermont,Winter,3.0
2022,Virginia,Summer,6.0
2022,Virginia,Winter,14.0
2022,Washington,Summer,6.0
2022,Washington,Winter,7.5
2022,West Virginia,Summer,3.0
2022,West Virginia,Winter,12.5
2022,Wisconsin,Summer,3.0
2022,Wisconsin,Winter,8.5
2022,Wyoming,Summer,8.0
2022,Wyoming,Winter,6.5
