state,year,months,colony_n,colony_end_computed,percentage end colonies,cumulative percentage
wisconsin,2019,Q3,63000.0,58900.0,-0.06507936507936508,-0.4769
wisconsin,2019,Q4,46000.0,39300.0,-0.14565217391304347,-0.6226
wisconsin,2020,Q1,16000.0,14800.0,-0.075,-0.6976
wisconsin,2020,Q2,27000.0,39300.0,0.45555555555555555,-0.242
wisconsin,2020,Q3,68000.0,60970.0,-0.10338235294117647,-0.3454
wisconsin,2020,Q4,60000.0,54800.0,-0.08666666666666667,-0.4321
wisconsin,2021,Q1,42000.0,39730.0,-0.054047619047619046,-0.4861
wisconsin,2021,Q2,42000.0,49900.0,0.1880952380952381,-0.298
wisconsin,2021,Q3,66000.0,60500.0,-0.08333333333333333,-0.3813
wisconsin,2021,Q4,47000.0,42600.0,-0.09361702127659574,-0.475
wisconsin,2022,Q1,39000.0,37600.0,-0.035897435897435895,-0.5109
wisconsin,2022,Q2,52000.0,56400.0,0.08461538461538462,-0.4262
