"state_code","year","quarter","media","min","max"
"24",2019,"3",7.6875,"4.0","12.5"
"24",2019,"4",8.4571,"3.3","31.7"
"24",2020,"1",4.1571,"2.5","5.7"
"24",2020,"4",4.0125,"0.9","7.0"
"24",2021,"1",5.4833,"2.8","13.5"
"24",2021,"3",11.6,"6.8","28.3"
"24",2021,"4",5.65,"3.5","7.5"
"24",2022,"2",5.25,"2.7","8.1"
"25",2015,"1",8.4366,"3.8","19.9"
"25",2015,"2",6.11283333333333,"0.0","18.8"
"25",2015,"3",7.6397,"0.8","21.2"
"25",2015,"4",4.69786666666667,"0.9","14.7"
"25",2016,"1",5.37596666666667,"1.0","15.9"
"25",2016,"2",5.73203333333333,"1.4","8.5"
"25",2016,"3",5.5594,"1.0","9.4"
"25",2016,"4",6.87393333333333,"0.8","18.5"
"25",2017,"1",6.0071,"0.2","12.5"
"25",2017,"2",4.56133333333333,"0.1","24.3"
"25",2017,"3",6.75963333333333,"0.8","21.7"
"25",2017,"4",6.4805,"0.3","15.0"
"25",2018,"1",3.988,"1.0","8.3"
"25",2018,"2",4.6172,"0.0","13.2"
"25",2019,"1",4.8367,"1.7","11.4"
"25",2019,"2",4.2724,"1.2","13.1"
"25",2019,"3",6.92,"1.7","13.0"
"25",2019,"4",4.58,"0.9","12.7"
"25",2020,"3",7.1069,"4.3","11.0"
"25",2020,"4",6.7577,"0.7","30.4"
"26",2015,"1",12.001675,"2.2","24.7"
"26",2015,"2",9.4805,"1.5","15.5"
"26",2015,"3",10.66058,"1.9","51.0"
"26",2015,"4",7.186,"1.3","26.0"
"26",2016,"1",10.58125,"2.2","21.3"
"26",2016,"2",8.039725,"0.4","17.4"
"26",2016,"3",7.681,"2.0","8.0"
"26",2016,"4",7.62704,"1.1","8.2"
"26",2017,"1",10.27066,"2.3","23.5"
"26",2017,"2",5.8344,"1.8","18.5"
"26",2017,"3",9.209425,"3.5","17.8"
"26",2017,"4",9.3995,"0.0","24.9"
"26",2018,"1",10.21215,"2.7","26.6"
"26",2018,"2",7.870475,"1.4","9.4"
"26",2018,"3",9.435975,"2.9","16.0"
"26",2018,"4",6.86526666666667,"1.2","22.5"
"26",2019,"1",10.2302,"2.3","34.7"
"26",2019,"2",5.76715,"1.6","9.4"
"26",2019,"3",6.967475,"3.2","14.7"
"26",2019,"4",7.89096666666667,"2.4","24.2"
"26",2020,"1",8.52085,"2.1","20.9"
"26",2020,"2",6.48665,"2.8","11.9"
"26",2020,"3",8.72355,"3.1","15.0"
"26",2020,"4",8.6333,"2.4","30.8"
"26",2021,"1",9.87063333333333,"1.2","31.3"
"26",2021,"2",7.44852,"1.5","27.9"
"26",2021,"3",9.434,"0.1","30.3"
"26",2021,"4",8.75105,"0.0","35.2"
"26",2022,"1",10.4806333333333,"1.2","45.6"
"26",2022,"2",8.03086666666667,"1.4","34.1"
"26",2022,"3",7.38464,"0.1","25.7"
"27",2015,"1",5.36785,"1.9","8.4"
"27",2015,"2",4.9929,"0.6","7.9"
