"","Year","Period","State","State.ANSI","colony_added","colony_max","colony_cd_loss","colony_loss","colony_loss_pct","Disesases","Other","Pesticides","Pests.excl.Varroa.mites","Unknown","Varroa.mites","colony_reno_pct"
"87",2022,"JAN THRU MAR","VERMONT",50,"0","8,000","20","380","5","1.3","2.7","4","1.9","0.5","15.2","0"
"88",2022,"JAN THRU MAR","VIRGINIA",51,"940","10,000","660","1,700","17","2.5","12","(Z)","13.9","7.8","25.7","2"
"89",2022,"JAN THRU MAR","WASHINGTON",53,"1,400","102,000","3,400","7,500","7","3.6","2.6","0","4","(Z)","8.3","6"
"90",2022,"JAN THRU MAR","WEST VIRGINIA",54,"420","5,500","370","1,000","18","1.7","6","1.2","7.4","0.9","15.8","4"
"91",2022,"JAN THRU MAR","WISCONSIN",55,"1,400","53,000","3,200","2,800","5","(Z)","2","6.5","(Z)","0.5","7.9","(Z)"
"92",2022,"JAN THRU MAR","WYOMING",56,"20","8,000","760","180","2","0","1.2","0","0","0.8","1.3","0"
"93",2021,"APR THRU JUN","ALABAMA",1,"3,400","9,500","90","2,700","28","0.5","5.8","2.1","35","7.4","55.2","10"
"94",2021,"APR THRU JUN","ARIZONA",4,"12,000","26,000","1,300","4,300","17","3.6","7.1","1.2","0","6.9","7.4","14"
"95",2021,"APR THRU JUN","ARKANSAS",5,"9,000","12,500","410","1,600","13","5.7","2","2.8","21.9","3.6","42.2","44"
"96",2021,"APR THRU JUN","CALIFORNIA",6,"165,000","1,060,000","10,000","114,000","11","7.7","11.6","16.1","11.5","3.8","42.4","17"
"97",2021,"APR THRU JUN","COLORADO",8,"6,000","25,000","120","8,500","34","0","0.5","(Z)","(Z)","2.9","56.1","4"
"98",2021,"APR THRU JUN","CONNECTICUT",9,"1,100","4,000","10","60","2","0.1","1","(Z)","6","0","16.5","9"
"99",2021,"APR THRU JUN","FLORIDA",12,"53,000","300,000","9,000","33,000","11","4.3","6.4","10.1","22.9","7.7","43.4","10"
"100",2021,"APR THRU JUN","GEORGIA",13,"25,000","135,000","3,900","21,000","16","5.2","5.2","2.8","13.8","5.8","44.7","14"
"101",2021,"APR THRU JUN","HAWAII",15,"490","21,000","180","490","2","0","(Z)","0","60.8","(Z)","92.6","6"
"102",2021,"APR THRU JUN","IDAHO",16,"40,000","120,000","3,400","19,500","16","5.4","2","9.9","1.9","6.2","31.9","16"
"103",2021,"APR THRU JUN","ILLINOIS",17,"3,700","13,000","90","1,100","8","1.6","4.1","3.5","4.5","7.4","32.5","16"
"104",2021,"APR THRU JUN","INDIANA",18,"4,000","13,000","230","560","4","0.6","6.1","7","7.3","1.3","22.8","8"
"105",2021,"APR THRU JUN","IOWA",19,"11,000","29,000","1,200","2,200","8","1.2","2.6","0.8","2.5","8.2","13.7","13"
"106",2021,"APR THRU JUN","KANSAS",20,"4,800","8,000","740","1,900","24","7.2","1.5","8.6","21.6","6.5","47.8","20"
"107",2021,"APR THRU JUN","KENTUCKY",21,"2,100","11,500","50","270","2","1","4.2","2.2","4","2.6","21.5","39"
"108",2021,"APR THRU JUN","LOUISIANA",22,"8,000","29,000","230","2,300","8","(Z)","10.6","(Z)","3.7","0.9","29.1","7"
"109",2021,"APR THRU JUN","MAINE",23,"430","18,000","50","1,100","6","(Z)","1.5","0","0","0","13.9","1"
"110",2021,"APR THRU JUN","MARYLAND",24,"2,600","7,500","50","320","4","(Z)","2","0.6","8.9","1.4","17.2","9"
